"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"AC004160.4",0,0,0,0,0,0
"AC004221.2",0,0,5,3,3,3
"AC004231.2",0,1,0,0,0,0
"AC004237.1",4,6,4,7,7,9
"AC004257.1",2,4,5,4,3,2
"AC004381.6",45,44,59,36,23,11
"AC004381.7",0,0,2,0,3,1
"AC004383.3",0,0,2,0,3,0
"AC004386.3",0,0,0,0,0,0
"AC004386.4",2,0,0,0,0,0
"AC004448.2",0,1,0,0,0,0
"AC004448.5",0,0,0,0,0,0
"AC004449.6",0,0,0,0,0,0
"AC004453.1",0,0,0,0,0,0
"AC004453.8",19,17,13,13,8,11
"AC004458.1",0,0,0,0,0,0
"AC004460.1",0,0,0,0,0,0
"AC004461.4",0,0,0,0,0,0
"AC004470.1",0,0,0,0,0,0
"AC004471.10",0,0,0,0,0,0
"AC004471.9",1,4,1,0,1,2
"AC004477.1",0,0,0,0,0,0
"AC004485.3",0,0,0,0,0,0
"AC004490.1",0,0,1,0,1,1
"AC004492.1",0,0,0,0,0,0
"AC004510.3",3,1,1,0,2,0
"AC004520.1",0,0,0,0,0,0
"AC004535.2",0,0,0,0,0,0
"AC004538.3",1,0,0,0,0,0
"AC004540.4",0,0,0,3,0,0
"AC004540.5",7,3,11,1,1,0
"AC004541.1",0,0,0,0,0,0
"AC004543.1",0,0,0,0,0,0
"AC004543.2",0,0,0,0,0,0
"AC004549.6",1,1,0,0,0,0
"AC004552.1",0,0,0,0,0,0
"AC004556.1",0,0,31,0,0,0
"AC004556.2",0,0,0,0,0,0
"AC004593.3",0,0,0,0,0,0
"AC004595.1",0,0,0,0,0,0
"AC004603.4",0,0,0,0,0,0
"AC004623.2",0,0,2,0,0,0
"AC004623.3",4,4,5,2,2,6
"AC004637.1",1,0,0,0,0,0
"AC004655.1",0,0,0,0,0,0
"AC004656.1",0,0,0,0,0,0
"AC004673.1",0,0,0,0,0,0
"AC004691.1",0,0,0,0,0,0
"AC004691.5",0,0,0,0,0,0
"AC004692.4",0,0,0,0,0,0
"AC004692.5",0,0,0,0,0,0
"AC004699.1",0,0,0,0,0,0
"AC004702.2",1,0,3,0,1,1
"AC004744.3",0,0,0,0,0,0
"AC004745.1",0,0,0,0,0,0
"AC004754.3",16,10,14,4,3,7
"AC004769.1",0,0,0,0,0,0
"AC004775.5",0,0,1,0,0,0
"AC004791.2",0,0,0,0,0,0
"AC004812.1",0,0,0,0,1,0
"AC004813.1",0,0,0,0,0,0
"AC004816.1",0,0,0,0,0,0
"AC004819.1",0,0,0,0,0,0
"AC004824.1",0,0,0,0,0,0
"AC004824.2",1,0,3,0,1,0
"AC004832.1",1,0,0,0,0,0
"AC004837.1",0,0,0,0,0,0
"AC004837.3",0,0,0,0,0,0
"AC004837.4",0,0,0,0,0,0
"AC004837.5",0,0,0,0,0,0
"AC004840.8",0,0,0,0,0,0
"AC004846.1",0,0,0,0,0,0
"AC004850.1",0,0,0,0,0,0
"AC004853.1",0,0,0,0,0,0
"AC004854.4",0,0,0,0,0,0
"AC004854.5",0,0,0,0,0,0
"AC004862.6",0,0,0,0,0,0
"AC004866.1",0,0,0,0,0,0
"AC004866.3",0,0,0,0,0,0
"AC004869.2",0,0,0,0,0,0
"AC004869.3",0,0,0,0,0,0
"AC004870.3",0,0,0,0,0,0
"AC004870.4",0,0,0,0,0,0
"AC004870.5",0,0,0,1,0,0
"AC004875.1",0,0,0,0,0,0
"AC004878.2",0,0,0,0,0,0
"AC004878.8",0,0,0,0,0,0
"AC004893.10",3,1,0,0,1,1
"AC004893.11",47,81,36,19,30,19
"AC004895.1",0,0,0,0,0,0
"AC004895.4",0,1,0,0,0,0
"AC004899.3",0,0,0,0,0,0
"AC004901.1",0,0,0,0,0,0
"AC004906.3",0,0,0,0,0,0
"AC004911.2",0,0,0,0,0,0
"AC004915.1",0,0,0,0,0,0
"AC004920.2",0,0,0,0,0,0
"AC004920.3",0,0,0,0,0,0
"AC004924.1",0,0,0,0,0,0
"AC004932.1",0,0,0,0,0,3
"AC004938.5",0,0,0,0,0,0
"AC004941.3",0,2,1,0,5,0
"AC004941.5",0,0,0,0,0,0
"AC004943.1",0,0,0,0,0,0
"AC004945.1",0,0,0,0,0,0
"AC004946.1",0,0,0,0,0,0
"AC004947.2",0,0,0,0,0,0
"AC004951.5",1,2,0,7,0,0
"AC004951.6",19,29,16,23,36,25
"AC004953.1",0,0,0,0,0,0
"AC004967.7",10,15,15,11,3,17
"AC004969.1",0,0,0,0,0,0
"AC004980.1",0,0,0,0,0,0
"AC004980.10",0,0,0,0,1,0
"AC004980.7",35,60,44,64,33,34
"AC004980.8",0,0,0,0,0,0
"AC004980.9",0,1,0,1,0,2
"AC004984.1",0,0,0,0,0,0
"AC004985.12",0,0,0,0,1,0
"AC004987.10",0,0,0,0,0,0
"AC004987.9",0,0,0,0,0,0
"AC004988.1",1,3,0,0,1,0
"AC005000.1",0,0,0,0,0,0
"AC005008.2",0,0,0,0,0,0
"AC005008.3",0,0,0,0,0,0
"AC005009.1",0,0,1,0,0,0
"AC005009.2",0,0,0,0,3,0
"AC005013.5",0,0,1,0,0,0
"AC005014.5",1,0,0,0,1,0
"AC005017.2",0,0,0,0,0,0
"AC005019.2",0,0,0,0,0,0
"AC005019.3",0,0,0,0,0,0
"AC005020.1",0,0,0,0,0,0
"AC005024.1",0,0,0,0,0,0
"AC005027.3",0,0,0,0,0,0
"AC005033.6",0,0,0,0,0,0
"AC005034.2",0,0,0,0,0,0
"AC005037.1",0,0,0,0,0,0
"AC005037.3",5,3,5,2,3,0
"AC005040.3",1,0,0,0,0,0
"AC005041.11",0,0,0,0,0,0
"AC005042.1",0,0,0,0,0,0
"AC005042.2",0,0,0,0,0,0
"AC005042.3",0,0,0,0,0,0
"AC005042.4",0,0,1,0,0,0
"AC005042.5",0,0,0,0,0,0
"AC005048.1",0,0,0,0,0,0
"AC005052.1",0,1,0,0,0,0
"AC005062.2",2,1,0,0,0,0
"AC005071.1",0,1,3,0,0,0
"AC005071.2",0,0,0,0,0,0
"AC005071.3",0,0,0,0,3,1
"AC005071.4",0,0,0,0,0,0
"AC005076.5",6,13,24,11,5,11
"AC005077.14",9,1,1,24,3,1
"AC005077.5",0,0,0,0,0,0
"AC005077.7",0,0,0,0,0,0
"AC005077.8",0,0,0,0,0,0
"AC005077.9",0,0,0,0,0,0
"AC005082.1",0,0,0,0,0,0
"AC005082.12",17,7,11,48,37,54
"AC005083.1",1,0,0,0,0,1
"AC005086.1",0,0,0,0,0,0
"AC005086.2",0,0,0,0,0,0
"AC005086.3",0,0,0,0,0,0
"AC005088.1",0,0,0,0,0,0
"AC005094.2",0,0,0,0,0,0
"AC005102.1",0,0,0,0,0,0
"AC005104.3",0,0,0,0,0,1
"AC005105.2",0,0,0,0,0,0
"AC005150.1",0,0,0,0,0,0
"AC005150.2",0,0,0,0,0,0
"AC005150.3",0,0,0,0,0,0
"AC005152.3",0,0,0,0,0,0
"AC005154.6",150,118,217,391,200,107
"AC005154.7",5,11,15,10,14,7
"AC005154.8",0,0,0,0,0,0
"AC005158.1",0,0,0,0,0,0
"AC005159.1",0,0,0,0,0,0
"AC005160.3",0,0,0,0,0,0
"AC005162.4",0,0,0,0,0,0
"AC005162.5",0,0,0,0,0,0
"AC005176.1",0,0,0,0,0,0
"AC005176.2",0,0,0,0,0,0
"AC005176.3",0,0,0,0,0,0
"AC005178.1",0,0,0,0,0,0
"AC005187.1",0,0,0,0,0,0
"AC005189.6",0,0,0,0,0,0
"AC005197.2",0,0,0,0,0,0
"AC005204.1",0,0,0,0,0,0
"AC005215.1",0,0,0,0,0,0
"AC005220.3",0,0,0,0,0,0
"AC005224.2",0,7,6,12,7,7
"AC005227.1",0,0,0,0,0,0
"AC005229.1",0,0,0,0,0,0
"AC005229.5",0,0,0,0,0,0
"AC005229.7",0,0,0,0,0,0
"AC005235.1",0,1,0,0,0,0
"AC005237.2",0,0,0,0,0,0
"AC005237.4",0,0,0,2,0,0
"AC005251.3",18,17,6,9,3,5
"AC005253.2",3,4,6,4,0,2
"AC005253.4",0,0,1,1,0,0
"AC005255.3",0,0,0,0,0,0
"AC005255.5",0,0,0,0,0,0
"AC005255.6",0,0,0,0,0,0
"AC005256.1",0,0,0,0,0,0
"AC005262.2",0,0,2,0,1,0
"AC005262.3",1,0,0,0,0,0
"AC005262.4",0,1,0,0,0,0
"AC005264.2",0,0,0,0,0,0
"AC005276.1",0,0,1,2,1,2
"AC005281.1",0,0,0,0,0,0
"AC005281.2",0,0,0,0,0,0
"AC005284.1",0,0,0,0,0,0
"AC005284.2",0,0,0,0,0,0
"AC005288.1",0,0,0,0,0,0
"AC005300.5",2,1,2,0,0,0
"AC005301.8",0,0,0,0,0,0
"AC005304.1",0,0,0,0,0,0
"AC005306.3",25,24,20,104,41,11
"AC005307.1",0,0,0,0,0,0
"AC005307.3",1,0,2,5,2,0
"AC005324.6",0,0,0,0,0,0
"AC005324.7",0,0,0,0,0,0
"AC005329.7",4,11,10,15,7,2
"AC005330.2",0,1,1,0,0,0
"AC005336.4",0,6,11,0,0,0
"AC005336.5",0,0,0,0,0,0
"AC005339.1",0,0,0,0,0,0
"AC005339.2",1,3,0,0,8,3
"AC005351.1",0,0,0,0,0,0
"AC005355.1",0,0,0,0,0,0
"AC005355.2",0,0,0,0,1,0
"AC005355.3",0,0,1,0,3,0
"AC005357.1",0,0,0,0,0,0
"AC005358.3",0,0,0,0,0,0
"AC005363.11",0,0,0,0,0,0
"AC005363.9",0,0,0,0,0,0
"AC005371.1",0,0,0,0,0,0
"AC005375.1",0,0,0,0,0,0
"AC005387.2",0,0,0,0,0,0
"AC005387.3",0,0,0,0,0,0
"AC005391.2",0,0,0,0,0,0
"AC005392.13",0,0,0,0,0,0
"AC005394.1",0,0,0,0,0,0
"AC005412.1",0,0,0,0,0,0
"AC005477.1",0,0,0,0,0,0
"AC005480.1",1,3,2,0,0,1
"AC005481.5",22,22,16,5,5,5
"AC005487.2",0,0,0,0,0,0
"AC005488.11",0,0,0,0,0,0
"AC005498.1",0,0,0,0,0,0
"AC005498.3",4,2,10,1,1,1
"AC005498.4",0,1,0,2,0,1
"AC005513.1",1,0,0,0,0,0
"AC005514.2",0,0,0,0,0,0
"AC005517.3",0,3,3,16,0,0
"AC005518.2",0,0,0,0,0,0
"AC005519.4",15,17,15,19,9,11
"AC005522.6",0,0,0,0,0,0
"AC005522.7",0,0,0,0,0,0
